Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
20.10.2023;172.88;-0.014704206;175.310;175.420;172.640;64244028;173.7383;21.71;172.85;172.84;0.01;28.701;17.381;22.564;20.35;-1.32;0.09;-0.15;0.2;0.36;0.021;28.25;26.17;24.65
23.10.2023;173;0.000694123;170.910;174.010;169.930;55980109;172.3933;20.37;172.96;172.93;0.03;26.099;16.669;22.544;20.248;-0.23;-0.58;-0.77;0.18;-0.43;0.021;28.27;26.18;24.67
24.10.2023;173.44;0.002543353;173.050;173.670;171.450;43816644;172.7413;18.97;173.4;173.39;0.01;25.542;16.319;22.56;20.237;0.71;0.09;-0.58;-0.91;0.15;0.021;28.34;26.27;24.73
25.10.2023;171.1;-0.013491697;171.880;173.060;170.650;57156962;171.4908;20.19;171.1;171.09;0.01;27.413;16.557;22.51;20.355;-1.58;-0.02;0.85;1.48;0.21;0.021;27.96;25.92;24.39
26.10.2023;166.89;-0.024605494;170.370;171.378;165.670;70625258;167.5727;20.68;166.76;166.74;0.02;28.267;18.034;22.994;20.751;-1.15;1.18;1.68;-0.76;0.47;0.021;27.27;25.37;23.79
27.10.2023;168.22;0.007969321;166.910;168.960;166.830;58499129;167.9179;21.27;168.29;168.28;0.01;28.09;17.378;20.792;20.59;-0.53;-0.58;-0.58;0.43;-0.96;0.021;27.49;25.58;23.98
30.10.2023;170.29;0.012305314;169.020;171.170;168.870;51130955;170.0825;19.75;170.24;170.23;0.01;27.382;17.733;20.696;20.717;1.15;-0.33;0.28;-0.15;0.17;0.021;27.83;25.95;24.28
31.10.2023;170.77;0.002818721;169.350;170.900;167.900;44846017;169.9508;18.14;170.77;170.75;0.02;26.282;16.823;20.669;20.696;0.63;0.05;-0.07;-0.85;0.06;0.021;27.9;26.02;24.35
01.11.2023;173.97;0.018738654;171.000;174.230;170.120;56934906;172.663;16.87;173.92;173.9;0.02;24.345;17.607;20.991;20.787;0.93;-0.68;-0.02;0.12;-0.71;0.021;28.43;26.51;24.8
02.11.2023;177.57;0.020693223;175.520;177.780;175.460;77334752;176.6893;15.66;177.78;177.77;0.01;24.08;18.598;21.443;21.071;1.95;0.71;1.64;-0.23;0.53;0.021;29.01;27;25.32
03.11.2023;176.65;-0.005181055;174.240;176.820;173.350;79829246;175.5987;14.91;176.64;176.63;0.01;19.64;18.551;21.469;21.08;1.1;1.73;0.6;-1.19;0.18;0.021;28.86;26.92;25.19
06.11.2023;179.23;0.014605151;176.380;179.430;176.210;63841310;178.6147;14.89;179.3;179.29;0.01;18.97;17.498;21.598;20.851;0.01;-1.22;-0.66;0.87;-0.2;0.021;29.29;27.31;25.55
07.11.2023;181.82;0.014450706;179.180;182.440;178.970;70529966;181.3397;14.81;181.9;181.87;0.03;18.586;17.605;21.669;20.977;0.35;-0.41;-1.2;-1.26;-0.05;0.021;29.71;27.69;25.92
08.11.2023;182.89;0.005884941;182.350;183.450;181.590;49340282;182.6667;14.45;182.91;182.9;0.01;18.195;17.637;21.668;20.986;-0.04;-1.01;-0.46;0.45;0.04;0.021;29.88;27.85;26.08
09.11.2023;182.41;-0.002624528;182.960;184.120;181.810;53763540;182.9019;15.29;182.44;182.43;0.01;18.712;17.699;21.434;20.983;-0.89;-1.01;0.5;0.53;-0.3;0.021;29.81;27.77;26.01
10.11.2023;186.4;0.021873801;183.970;186.565;183.530;66177922;185.4132;14.17;186.34;186.33;0.01;17.782;18.266;21.873;21.302;1.49;-0.61;-0.45;0.74;-0.37;0.021;30.46;28.35;26.58
13.11.2023;184.8;-0.008583691;185.820;186.030;184.210;43627519;184.8299;14.76;184.78;184.77;0.01;18.192;18.31;21.921;21.271;-0.05;0.06;-0.26;-0.29;-0.17;0.021;30.2;28.11;26.35
14.11.2023;187.44;0.014285714;187.700;188.110;186.300;60108378;187.3227;14.16;187.45;187.44;0.01;16.992;18.596;22.052;21.408;2.18;3.23;1.19;-0.98;-0.24;0.021;30.63;28.51;26.72
15.11.2023;188.01;0.003040973;187.845;189.500;187.780;53790499;188.4411;14.18;188.11;188.1;0.01;16.91;18.543;21.607;21.359;0.18;0.13;0.5;-0.13;0.5;0.021;30.72;28.6;26.81
